"Year","SuperSector","SectorName","Industry","IndustryName","NAICSCode","Value"
1939,"00","Total nonfarm","00000000","Total nonfarm","-",30645
1940,"00","Total nonfarm","00000000","Total nonfarm","-",32407
1941,"00","Total nonfarm","00000000","Total nonfarm","-",36600
1942,"00","Total nonfarm","00000000","Total nonfarm","-",40213
1943,"00","Total nonfarm","00000000","Total nonfarm","-",42574
1944,"00","Total nonfarm","00000000","Total nonfarm","-",42006
1945,"00","Total nonfarm","00000000","Total nonfarm","-",40510
1946,"00","Total nonfarm","00000000","Total nonfarm","-",41759
1947,"00","Total nonfarm","00000000","Total nonfarm","-",43945
1948,"00","Total nonfarm","00000000","Total nonfarm","-",44954
1949,"00","Total nonfarm","00000000","Total nonfarm","-",43843
1950,"00","Total nonfarm","00000000","Total nonfarm","-",45287
1951,"00","Total nonfarm","00000000","Total nonfarm","-",47930
1952,"00","Total nonfarm","00000000","Total nonfarm","-",48909
1953,"00","Total nonfarm","00000000","Total nonfarm","-",50310
1954,"00","Total nonfarm","00000000","Total nonfarm","-",49093
1955,"00","Total nonfarm","00000000","Total nonfarm","-",50744
1956,"00","Total nonfarm","00000000","Total nonfarm","-",52473
1957,"00","Total nonfarm","00000000","Total nonfarm","-",52959
1958,"00","Total nonfarm","00000000","Total nonfarm","-",51426
1959,"00","Total nonfarm","00000000","Total nonfarm","-",53374
1960,"00","Total nonfarm","00000000","Total nonfarm","-",54296
1961,"00","Total nonfarm","00000000","Total nonfarm","-",54105
1962,"00","Total nonfarm","00000000","Total nonfarm","-",55659
1963,"00","Total nonfarm","00000000","Total nonfarm","-",56764
1964,"00","Total nonfarm","00000000","Total nonfarm","-",58391
1965,"00","Total nonfarm","00000000","Total nonfarm","-",60874
1966,"00","Total nonfarm","00000000","Total nonfarm","-",64020
1967,"00","Total nonfarm","00000000","Total nonfarm","-",65931
1968,"00","Total nonfarm","00000000","Total nonfarm","-",68023
1969,"00","Total nonfarm","00000000","Total nonfarm","-",70512
1970,"00","Total nonfarm","00000000","Total nonfarm","-",71006
1971,"00","Total nonfarm","00000000","Total nonfarm","-",71335
1972,"00","Total nonfarm","00000000","Total nonfarm","-",73798
1973,"00","Total nonfarm","00000000","Total nonfarm","-",76912
1974,"00","Total nonfarm","00000000","Total nonfarm","-",78389
1975,"00","Total nonfarm","00000000","Total nonfarm","-",77069
1976,"00","Total nonfarm","00000000","Total nonfarm","-",79502
1977,"00","Total nonfarm","00000000","Total nonfarm","-",82593
1978,"00","Total nonfarm","00000000","Total nonfarm","-",86826
1979,"00","Total nonfarm","00000000","Total nonfarm","-",89933
1980,"00","Total nonfarm","00000000","Total nonfarm","-",90533
1981,"00","Total nonfarm","00000000","Total nonfarm","-",91297
1982,"00","Total nonfarm","00000000","Total nonfarm","-",89689
1983,"00","Total nonfarm","00000000","Total nonfarm","-",90295
1984,"00","Total nonfarm","00000000","Total nonfarm","-",94548
1985,"00","Total nonfarm","00000000","Total nonfarm","-",97532
1986,"00","Total nonfarm","00000000","Total nonfarm","-",99500
1987,"00","Total nonfarm","00000000","Total nonfarm","-",102116
1988,"00","Total nonfarm","00000000","Total nonfarm","-",105378
1989,"00","Total nonfarm","00000000","Total nonfarm","-",108051
1990,"00","Total nonfarm","00000000","Total nonfarm","-",109527
1991,"00","Total nonfarm","00000000","Total nonfarm","-",108427
1992,"00","Total nonfarm","00000000","Total nonfarm","-",108802
1993,"00","Total nonfarm","00000000","Total nonfarm","-",110935
1994,"00","Total nonfarm","00000000","Total nonfarm","-",114398
1995,"00","Total nonfarm","00000000","Total nonfarm","-",117407
1996,"00","Total nonfarm","00000000","Total nonfarm","-",119836
1997,"00","Total nonfarm","00000000","Total nonfarm","-",122951
1998,"00","Total nonfarm","00000000","Total nonfarm","-",126157
1999,"00","Total nonfarm","00000000","Total nonfarm","-",129240
2000,"00","Total nonfarm","00000000","Total nonfarm","-",132024
2001,"00","Total nonfarm","00000000","Total nonfarm","-",132087
2002,"00","Total nonfarm","00000000","Total nonfarm","-",130649
2003,"00","Total nonfarm","00000000","Total nonfarm","-",130347
2004,"00","Total nonfarm","00000000","Total nonfarm","-",131787
2005,"00","Total nonfarm","00000000","Total nonfarm","-",134051
2006,"00","Total nonfarm","00000000","Total nonfarm","-",136453
2007,"00","Total nonfarm","00000000","Total nonfarm","-",137999
2008,"00","Total nonfarm","00000000","Total nonfarm","-",137242
2009,"00","Total nonfarm","00000000","Total nonfarm","-",131313
2010,"00","Total nonfarm","00000000","Total nonfarm","-",130361
2011,"00","Total nonfarm","00000000","Total nonfarm","-",131932
2012,"00","Total nonfarm","00000000","Total nonfarm","-",134175
2013,"00","Total nonfarm","00000000","Total nonfarm","-",136381
2014,"00","Total nonfarm","00000000","Total nonfarm","-",138958
2015,"00","Total nonfarm","00000000","Total nonfarm","-",141843
2016,"00","Total nonfarm","00000000","Total nonfarm","-",144306
1939,"05","Total private","05000000","Total private","-",26606
1940,"05","Total private","05000000","Total private","-",28156
1941,"05","Total private","05000000","Total private","-",31874
1942,"05","Total private","05000000","Total private","-",34621
1943,"05","Total private","05000000","Total private","-",36353
1944,"05","Total private","05000000","Total private","-",35819
1945,"05","Total private","05000000","Total private","-",34428
1946,"05","Total private","05000000","Total private","-",36054
1947,"05","Total private","05000000","Total private","-",38379
1948,"05","Total private","05000000","Total private","-",39213
1949,"05","Total private","05000000","Total private","-",37893
1950,"05","Total private","05000000","Total private","-",39167
1951,"05","Total private","05000000","Total private","-",41427
1952,"05","Total private","05000000","Total private","-",42182
1953,"05","Total private","05000000","Total private","-",43552
1954,"05","Total private","05000000","Total private","-",42235
1955,"05","Total private","05000000","Total private","-",43722
1956,"05","Total private","05000000","Total private","-",45087
1957,"05","Total private","05000000","Total private","-",45235
1958,"05","Total private","05000000","Total private","-",43480
1959,"05","Total private","05000000","Total private","-",45182
1960,"05","Total private","05000000","Total private","-",45832
1961,"05","Total private","05000000","Total private","-",45399
1962,"05","Total private","05000000","Total private","-",46655
1963,"05","Total private","05000000","Total private","-",47423
1964,"05","Total private","05000000","Total private","-",48680
1965,"05","Total private","05000000","Total private","-",50683
1966,"05","Total private","05000000","Total private","-",53110
1967,"05","Total private","05000000","Total private","-",54406
1968,"05","Total private","05000000","Total private","-",56050
1969,"05","Total private","05000000","Total private","-",58181
1970,"05","Total private","05000000","Total private","-",58318
1971,"05","Total private","05000000","Total private","-",58323
1972,"05","Total private","05000000","Total private","-",60333
1973,"05","Total private","05000000","Total private","-",63050
1974,"05","Total private","05000000","Total private","-",64086
1975,"05","Total private","05000000","Total private","-",62250
1976,"05","Total private","05000000","Total private","-",64501
1977,"05","Total private","05000000","Total private","-",67334
1978,"05","Total private","05000000","Total private","-",71014
1979,"05","Total private","05000000","Total private","-",73865
1980,"05","Total private","05000000","Total private","-",74158
1981,"05","Total private","05000000","Total private","-",75117
1982,"05","Total private","05000000","Total private","-",73706
1983,"05","Total private","05000000","Total private","-",74284
1984,"05","Total private","05000000","Total private","-",78389
1985,"05","Total private","05000000","Total private","-",81000
1986,"05","Total private","05000000","Total private","-",82661
1987,"05","Total private","05000000","Total private","-",84960
1988,"05","Total private","05000000","Total private","-",87838
1989,"05","Total private","05000000","Total private","-",90124
1990,"05","Total private","05000000","Total private","-",91112
1991,"05","Total private","05000000","Total private","-",89881
1992,"05","Total private","05000000","Total private","-",90015
1993,"05","Total private","05000000","Total private","-",91946
1994,"05","Total private","05000000","Total private","-",95124
1995,"05","Total private","05000000","Total private","-",97975
1996,"05","Total private","05000000","Total private","-",100297
1997,"05","Total private","05000000","Total private","-",103287
1998,"05","Total private","05000000","Total private","-",106248
1999,"05","Total private","05000000","Total private","-",108933
2000,"05","Total private","05000000","Total private","-",111235
2001,"05","Total private","05000000","Total private","-",110969
2002,"05","Total private","05000000","Total private","-",109136
2003,"05","Total private","05000000","Total private","-",108764
2004,"05","Total private","05000000","Total private","-",110166
2005,"05","Total private","05000000","Total private","-",112247
2006,"05","Total private","05000000","Total private","-",114479
2007,"05","Total private","05000000","Total private","-",115781
2008,"05","Total private","05000000","Total private","-",114732
2009,"05","Total private","05000000","Total private","-",108758
2010,"05","Total private","05000000","Total private","-",107871
2011,"05","Total private","05000000","Total private","-",109845
2012,"05","Total private","05000000","Total private","-",112255
2013,"05","Total private","05000000","Total private","-",114529
2014,"05","Total private","05000000","Total private","-",117076
2015,"05","Total private","05000000","Total private","-",119814
2016,"05","Total private","05000000","Total private","-",122083
1939,"06","Goods-producing","06000000","Goods-producing","-",11511
1940,"06","Goods-producing","06000000","Goods-producing","-",12378
1941,"06","Goods-producing","06000000","Goods-producing","-",14940
1942,"06","Goods-producing","06000000","Goods-producing","-",17275
1943,"06","Goods-producing","06000000","Goods-producing","-",18738
1944,"06","Goods-producing","06000000","Goods-producing","-",17981
1945,"06","Goods-producing","06000000","Goods-producing","-",16308
1946,"06","Goods-producing","06000000","Goods-producing","-",16122
1947,"06","Goods-producing","06000000","Goods-producing","-",17314
1948,"06","Goods-producing","06000000","Goods-producing","-",17579
1949,"06","Goods-producing","06000000","Goods-producing","-",16464
1950,"06","Goods-producing","06000000","Goods-producing","-",17343
1951,"06","Goods-producing","06000000","Goods-producing","-",18703
1952,"06","Goods-producing","06000000","Goods-producing","-",18928
1953,"06","Goods-producing","06000000","Goods-producing","-",19733
1954,"06","Goods-producing","06000000","Goods-producing","-",18515
1955,"06","Goods-producing","06000000","Goods-producing","-",19234
1956,"06","Goods-producing","06000000","Goods-producing","-",19799
1957,"06","Goods-producing","06000000","Goods-producing","-",19669
1958,"06","Goods-producing","06000000","Goods-producing","-",18319
1959,"06","Goods-producing","06000000","Goods-producing","-",19163
1960,"06","Goods-producing","06000000","Goods-producing","-",19182
1961,"06","Goods-producing","06000000","Goods-producing","-",18647
1962,"06","Goods-producing","06000000","Goods-producing","-",19203
1963,"06","Goods-producing","06000000","Goods-producing","-",19385
1964,"06","Goods-producing","06000000","Goods-producing","-",19733
1965,"06","Goods-producing","06000000","Goods-producing","-",20595
1966,"06","Goods-producing","06000000","Goods-producing","-",21740
1967,"06","Goods-producing","06000000","Goods-producing","-",21882
1968,"06","Goods-producing","06000000","Goods-producing","-",22292
1969,"06","Goods-producing","06000000","Goods-producing","-",22893
1970,"06","Goods-producing","06000000","Goods-producing","-",22179
1971,"06","Goods-producing","06000000","Goods-producing","-",21602
1972,"06","Goods-producing","06000000","Goods-producing","-",22299
1973,"06","Goods-producing","06000000","Goods-producing","-",23450
1974,"06","Goods-producing","06000000","Goods-producing","-",23364
1975,"06","Goods-producing","06000000","Goods-producing","-",21318
1976,"06","Goods-producing","06000000","Goods-producing","-",22025
1977,"06","Goods-producing","06000000","Goods-producing","-",22972
1978,"06","Goods-producing","06000000","Goods-producing","-",24156
1979,"06","Goods-producing","06000000","Goods-producing","-",24997
1980,"06","Goods-producing","06000000","Goods-producing","-",24263
1981,"06","Goods-producing","06000000","Goods-producing","-",24118
1982,"06","Goods-producing","06000000","Goods-producing","-",22550
1983,"06","Goods-producing","06000000","Goods-producing","-",22110
1984,"06","Goods-producing","06000000","Goods-producing","-",23435
1985,"06","Goods-producing","06000000","Goods-producing","-",23585
1986,"06","Goods-producing","06000000","Goods-producing","-",23318
1987,"06","Goods-producing","06000000","Goods-producing","-",23470
1988,"06","Goods-producing","06000000","Goods-producing","-",23909
1989,"06","Goods-producing","06000000","Goods-producing","-",24045
1990,"06","Goods-producing","06000000","Goods-producing","-",23723
1991,"06","Goods-producing","06000000","Goods-producing","-",22588
1992,"06","Goods-producing","06000000","Goods-producing","-",22095
1993,"06","Goods-producing","06000000","Goods-producing","-",22219
1994,"06","Goods-producing","06000000","Goods-producing","-",22774
1995,"06","Goods-producing","06000000","Goods-producing","-",23156
1996,"06","Goods-producing","06000000","Goods-producing","-",23409
1997,"06","Goods-producing","06000000","Goods-producing","-",23886
1998,"06","Goods-producing","06000000","Goods-producing","-",24354
1999,"06","Goods-producing","06000000","Goods-producing","-",24465
2000,"06","Goods-producing","06000000","Goods-producing","-",24649
